Neighborhood,VENUE_COUNT,USER_COUNT,CATEGORY_AVG
Allerton,1,56,3.7
Annadale,1,102,4.6
Arlington,1,10,4.2
Arverne,2,82,3.719512195121952
Astoria,27,2685,4.241229050279329
Bath Beach,7,734,3.6291553133514975
Battery Park City,18,4670,4.195631691648821
Bay Ridge,9,2123,4.063306641544983
Bay Terrace,4,457,4.053829321663018
Baychester,4,694,3.649423631123919
Bayside,7,1265,4.529328063241106
Bedford Park,4,568,4.117605633802817
Bedford Stuyvesant,8,506,4.253162055335968
Beechhurst,1,49,4.2
Belle Harbor,1,28,3.8
Bellerose,2,161,3.9677018633540375
Belmont,12,1508,4.24867374005305
Bensonhurst,4,158,3.5278481012658225
Blissville,2,125,3.7392
Boerum Hill,12,2121,3.876426214049976
Borough Park,7,815,4.480736196319018
Briarwood,1,190,4.7
Brighton Beach,8,1394,3.8829268292682926
Broadway Junction,4,967,3.6645294725956568
Bronxdale,1,157,4.3
Brooklyn Heights,10,1729,4.085540775014459
Brownsville,3,116,4.1913793103448285
Bulls Head,5,1369,4.0038714390065735
Bushwick,18,2429,4.347015232606011
Carnegie Hill,21,4566,4.277507665352606
Carroll Gardens,17,1957,4.347981604496678
Castleton Corners,2,56,4.642857142857143
Central Harlem,8,1865,3.72053619302949
Charleston,3,287,4.097560975609756
Chelsea,36,8115,4.328626001232285
Chinatown,31,9653,4.315570289029316
City Island,2,44,4.681818181818182
City Line,3,265,3.8596226415094335
Civic Center,60,12087,3.9913708943493007
Claremont Village,2,176,3.9380681818181817
Clifton,1,169,4.2
Clinton,29,7906,4.312180622312168
Clinton Hill,12,1250,4.42664
Cobble Hill,10,616,4.447402597402596
College Point,4,137,4.0518248175182485
Concourse,4,439,3.486560364464693
Concourse Village,4,614,4.17442996742671
Corona,4,1004,4.379282868525896
Crown Heights,5,1172,4.392491467576792
Cypress Hills,4,943,3.7923647932131495
Ditmas Park,3,510,4.351372549019607
Dongan Hills,2,32,3.5625
Douglaston,3,799,3.6759699624530655
Downtown,18,4199,3.679399857108835
Dumbo,15,3766,4.248698884758364
Dyker Heights,1,193,4.3
East Elmhurst,3,471,3.7804670912951166
East Harlem,9,1680,3.997500000000001
East New York,1,3,5.0
East Tremont,3,530,4.159622641509434
East Village,60,12708,4.268083097261568
East Williamsburg,6,901,4.538401775804662
Eastchester,2,1144,3.878671328671329
Edgemere,1,44,3.5
Edgewater Park,2,204,4.5588235294117645
Elm Park,1,1,5.0
Elmhurst,16,1235,3.766072874493928
Eltingville,1,105,3.6
Erasmus,3,219,3.992694063926941
Far Rockaway,2,944,3.418220338983051
Financial District,33,7898,3.8973284375791337
Flatbush,5,488,3.8092213114754094
Flatiron,18,10808,4.271548852701701
Flatlands,1,670,3.4
Flushing,4,667,3.682908545727136
