,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Rating,Venue Ratings total
0,Wakefield,40.89470517661,-73.84720052054902,Dunkin',40.8904588,-73.8490889,3.7,114
1,Eastchester,40.887555677350775,-73.82780644716412,McDonald's,40.8856363,-73.8268396,3.8,918
2,Eastchester,40.887555677350775,-73.82780644716412,Dunkin',40.8853842,-73.82809879999999,4.2,225
3,Kingsbridge,40.88168737120521,-73.90281798724604,McDonald's,40.8840455,-73.9016826,3.7,830
4,Kingsbridge,40.88168737120521,-73.90281798724604,Dunkin',40.8793081,-73.9050664,3.4,23
5,Kingsbridge,40.88168737120521,-73.90281798724604,SUGARBOY BAKERY,40.8794839,-73.9046877,5.0,1
6,Kingsbridge,40.88168737120521,-73.90281798724604,Gold Mine Cafe,40.8789652,-73.9044995,4.1,213
7,Kingsbridge,40.88168737120521,-73.90281798724604,Dunkin',40.88444150000001,-73.9001847,4.5,18
8,Kingsbridge,40.88168737120521,-73.90281798724604,Mon Amour Coffee & Wine,40.8848351,-73.90040619999999,4.6,207
9,Marble Hill,40.87655077879964,-73.91065965862981,Dunkin',40.87716820000001,-73.90665249999999,4.0,319
10,Marble Hill,40.87655077879964,-73.91065965862981,Parrilla Latina,40.8775475,-73.9061478,3.8,360
11,Marble Hill,40.87655077879964,-73.91065965862981,Starbucks,40.877577,-73.905557,4.3,230
12,Marble Hill,40.87655077879964,-73.91065965862981,Auntie Anne's,40.8773995,-73.9049467,3.5,11
13,Woodlawn,40.89827261213805,-73.86731496814176,The Kitchen,40.8997308,-73.8675718,3.6,86
14,Woodlawn,40.89827261213805,-73.86731496814176,Dunkin',40.8960364,-73.86357009999999,3.3,29
15,Norwood,40.87722415599446,-73.8793907395681,McDonald's,40.872894,-73.878677,3.9,590
16,Norwood,40.87722415599446,-73.8793907395681,Anthony's Famous Deli,40.8809866,-73.8779237,4.5,91
17,Norwood,40.87722415599446,-73.8793907395681,Nicky's Coffee Shop Inc,40.8748458,-73.8792094,4.4,198
18,Norwood,40.87722415599446,-73.8793907395681,New Star Coffee Shop & Deli,40.87507480000001,-73.8793013,4.2,41
19,Norwood,40.87722415599446,-73.8793907395681,S&R Lé Juicebar & Cafe,40.8796872,-73.8759384,4.7,18
20,Baychester,40.866858107252696,-73.83579759808117,Dunkin',40.8632116,-73.8343005,3.8,94
21,Baychester,40.866858107252696,-73.83579759808117,Dunkin',40.8678001,-73.8333646,3.4,37
22,Baychester,40.866858107252696,-73.83579759808117,McDonald's,40.86870589999999,-73.8305853,3.5,464
23,Baychester,40.866858107252696,-73.83579759808117,Starbucks,40.867375,-73.830347,4.3,98
24,Pelham Parkway,40.85741349808865,-73.85475564017999,Dunkin',40.8563828,-73.8561592,3.7,52
